type,interval_seconds
all_interactions,1.082
all_interactions,1.021
all_interactions,0.53
all_interactions,2.866
all_interactions,0.837
all_interactions,0.729
all_interactions,1.068
all_interactions,1.434
all_interactions,1.472
all_interactions,3.057
all_interactions,0.836
all_interactions,1.678
all_interactions,0.02
all_interactions,1.967
all_interactions,0.02
all_interactions,0.582
all_interactions,1.287
all_interactions,0.662
all_interactions,0.767
all_interactions,1.484
all_interactions,2.551
all_interactions,1.198
all_interactions,1.402
all_interactions,0.599
all_interactions,1.019
all_interactions,0.531
all_interactions,3.449
all_interactions,4.755
all_interactions,1.721
all_interactions,0.268
all_interactions,0.99
all_interactions,0.359
all_interactions,3.241
all_interactions,1.264
all_interactions,0.245
all_interactions,1.056
all_interactions,0.328
all_interactions,0.623
all_interactions,0.529
all_interactions,1.602
all_interactions,1.837
all_interactions,2.866
all_interactions,1.937
all_interactions,0.056
all_interactions,2.322
all_interactions,0.972
all_interactions,1.538
all_interactions,1.124
all_interactions,0.602
all_interactions,0.613
all_interactions,0.652
all_interactions,8.038
all_interactions,1.319
all_interactions,1.656
all_interactions,2.015
all_interactions,2.194
all_interactions,3.26
all_interactions,0.536
all_interactions,0.453
all_interactions,4.287
all_interactions,0.996
all_interactions,1.081
all_interactions,1.475
all_interactions,7.03
all_interactions,6.366
all_interactions,0.335
all_interactions,1.743
all_interactions,0.936
all_interactions,0.78
all_interactions,1.901
all_interactions,3.098
all_interactions,0.816
all_interactions,1.001
all_interactions,2.085
all_interactions,1.032
all_interactions,1.401
all_interactions,1.878
all_interactions,0.879
all_interactions,0.792
all_interactions,1.289
all_interactions,0.804
all_interactions,1.277
all_interactions,2.122
all_interactions,4.303
all_interactions,1.014
all_interactions,0.867
all_interactions,0.787
all_interactions,3.021
all_interactions,0.76
all_interactions,0.096
all_interactions,2.731
all_interactions,0.042
all_interactions,0.504
all_interactions,4.9
all_interactions,2.9
all_interactions,3.65
all_interactions,3.875
all_interactions,0.943
all_interactions,0.702
all_interactions,0.647
all_interactions,0.771
all_interactions,1.598
all_interactions,1.568
all_interactions,1.025
all_interactions,2.239
all_interactions,1.782
all_interactions,1.001
all_interactions,0.866
all_interactions,1.683
all_interactions,1.551
all_interactions,1.45
all_interactions,3.561
all_interactions,2.003
all_interactions,1.4
all_interactions,1.871
all_interactions,2.098
all_interactions,9.095
all_interactions,1.272
all_interactions,5.457
all_interactions,0.708
all_interactions,0.869
all_interactions,3.149
all_interactions,11.358
all_interactions,3.047
all_interactions,1.44
all_interactions,3.815
all_interactions,0.309
all_interactions,0.812
all_interactions,0.359
all_interactions,0.943
all_interactions,3.019
all_interactions,0.647
all_interactions,1.985
all_interactions,1.382
all_interactions,1.7
all_interactions,2.55
all_interactions,0.761
all_interactions,0.195
all_interactions,0.917
all_interactions,1.93
all_interactions,0.042
all_interactions,1.055
all_interactions,4.605
all_interactions,0.508
all_interactions,1.55
all_interactions,0.658
all_interactions,1.166
all_interactions,0.599
all_interactions,0.531
all_interactions,0.833
all_interactions,1.584
all_interactions,11.203
all_interactions,0.149
all_interactions,5.198
all_interactions,0.724
all_interactions,8.468
all_interactions,0.476
all_interactions,1.477
all_interactions,0.5
all_interactions,4.005
all_interactions,2.058
all_interactions,2.299
all_interactions,2.104
all_interactions,0.63
all_interactions,0.063
all_interactions,1.5
